Dav st;Rac dat;Rac cas;Racst pp;Racst en;Racst zap;Dav st zav;Post id;Post opis;Post kol;Post em;Post em cena;Post vrednost;Post 9,5 % DDV;Post 22 % DDV;Post 8% pav;Post davki ostalo;Post oprosc;Post dob76a;Post neobd;Post poseb;Sprem nep st;Post opombe;
31900232;20190104;09:13:59;MB2;B1;1165;;;Najstniško striženje;1,00;;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;;;
31900232;20190104;09:26:35;MB2;B1;1166;;;Najstniško striženje;1,00;;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;;;
31900232;20190104;17:17:32;MB2;B1;1167;;;Otroško striženje;2,00;;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;;;
31900232;20190108;10:13:01;MB2;B1;1168;;;Fen - akcija;1,00;;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;;;
31900232;20190109;10:30:33;MB2;B1;1169;;;Žensko striženje kratki las z fen frizuro;1,00;;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;;;
31900232;20190109;10:30:33;MB2;B1;1169;;;Barvanje narastka;1,00;;17,40;17,40;0,00;0,00;0,00;0,00;0,00;0,00;17,40;0,00;;;
31900232;20190109;11:26:18;MB2;B1;1170;;;Žensko striženje kratki las z fen frizuro;1,00;;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;;;
31900232;20190109;11:26:18;MB2;B1;1170;;;Fen frizura;1,00;;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;;;
31900232;20190109;21:46:40;MB2;B1;1171;;;Najstniško striženje;2,00;;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;;;
31900232;20190110;17:31:39;MB2;B1;1172;;;Žensko striženje kratki las z fen frizuro;1,00;;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;;;
31900232;20190110;19:14:51;MB2;B1;1173;;;Najstniško striženje;1,00;;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;;;
31900232;20190111;18:48:38;MB2;B1;1174;;;Žensko striženje kratki las z fen frizuro;1,00;;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;;;
31900232;20190111;18:48:38;MB2;B1;1174;;;Trajna ondulacija;1,00;;22,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;;;
31900232;20190115;09:06:31;MB2;B1;1175;;;Najstniško striženje;1,00;;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;;;
31900232;20190115;09:57:56;MB2;B1;1176;;;Žensko striženje kratki las z fen frizuro;1,00;;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;;;
31900232;20190118;15:50:50;MB2;B1;1177;;;Fen frizura z nego;1,00;;16,80;16,80;0,00;0,00;0,00;0,00;0,00;0,00;16,80;0,00;;;
31900232;20190119;09:49:36;MB2;B1;1178;;;Fen - akcija;1,00;;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;;;
31900232;20190121;09:38:38;MB2;B1;1179;;;Najstniško striženje;1,00;;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;;;
31900232;20190121;10:24:17;MB2;B1;1180;;;Fen - akcija;1,00;;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;;;
31900232;20190123;08:51:58;MB2;B1;1181;;;Najstniško striženje;1,00;;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;;;
31900232;20190123;11:58:40;MB2;B1;1182;;;Žensko striženje kratki las z fen frizuro;1,00;;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;;;
31900232;20190123;11:58:40;MB2;B1;1182;;;Barvanje narastka;1,00;;17,40;17,40;0,00;0,00;0,00;0,00;0,00;0,00;17,40;0,00;;;
31900232;20190123;18:42:02;MB2;B1;1183;;;Najstniško striženje;1,00;;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;;;
